treatment	N1	52906
treatment	N1	26570
treatment	N1	40056
treatment	N1	40139
treatment	N1	12822
treatment	N1	33229
treatment	N1	12329
treatment	N1	52905
treatment	N1	46833
treatment	N1	12305
treatment	N1	1006
treatment	N1	33602
treatment	N1	39947
treatment	N1	40137
treatment	N1	40088
treatment	N1	36001
treatment	N1	9358
treatment	N1	40085
treatment	N1	47135
treatment	N1	52995
treatment	N1	14291
treatment	N1	40072
treatment	N1	39998
treatment	N1	2809
treatment	N1	2779
treatment	N1	53879
treatment	N1	9356
treatment	N1	29353
treatment	N1	43911
treatment	REF	52906
treatment	REF	26570
treatment	REF	6273
treatment	REF	12822
treatment	REF	12329
treatment	REF	52905
treatment	REF	12305
treatment	REF	33602
treatment	REF	6272
treatment	REF	39947
treatment	REF	47135
treatment	REF	52995
treatment	REF	2809
treatment	REF	2779
treatment	REF	53879
treatment	REF	43911
treatment	N3	52906
treatment	N3	26570
treatment	N3	40056
treatment	N3	6273
treatment	N3	12822
treatment	N3	33229
treatment	N3	12329
treatment	N3	52905
treatment	N3	46833
treatment	N3	12305
treatment	N3	1006
treatment	N3	33602
treatment	N3	6272
treatment	N3	39947
treatment	N3	36001
treatment	N3	9358
treatment	N3	47135
treatment	N3	52995
treatment	N3	14291
treatment	N3	40072
treatment	N3	39998
treatment	N3	2809
treatment	N3	2779
treatment	N3	53879
treatment	N3	9356
treatment	N3	29353
treatment	N3	43911
treatment	P3	52906
treatment	P3	26570
treatment	P3	40056
treatment	P3	6273
treatment	P3	12822
treatment	P3	33229
treatment	P3	12329
treatment	P3	52905
treatment	P3	46833
treatment	P3	12305
treatment	P3	1006
treatment	P3	33602
treatment	P3	6272
treatment	P3	39947
treatment	P3	36001
treatment	P3	39663
treatment	P3	47135
treatment	P3	52995
treatment	P3	14291
treatment	P3	8215
treatment	P3	40072
treatment	P3	39998
treatment	P3	2809
treatment	P3	2779
treatment	P3	53879
treatment	P3	29353
treatment	P3	43911
treatment	N2	52906
treatment	N2	26570
treatment	N2	40056
treatment	N2	6273
treatment	N2	12822
treatment	N2	33229
treatment	N2	12329
treatment	N2	10029
treatment	N2	52905
treatment	N2	46833
treatment	N2	12305
treatment	N2	1006
treatment	N2	33602
treatment	N2	6272
treatment	N2	39947
treatment	N2	36001
treatment	N2	47135
treatment	N2	52995
treatment	N2	14291
treatment	N2	40072
treatment	N2	39998
treatment	N2	2809
treatment	N2	2779
treatment	N2	53879
treatment	N2	43030
treatment	N2	29353
treatment	N2	43911
