treatment	N1	48671
treatment	N1	67754
treatment	N1	46548
treatment	N1	40735
treatment	N1	14092
treatment	N1	35826
treatment	N1	30680
treatment	N1	75843
treatment	N1	49914
treatment	N1	11810
treatment	N1	14218
treatment	N1	81140
treatment	N1	36326
treatment	N1	62473
treatment	N1	78287
treatment	N1	50653
treatment	N1	55680
treatment	N1	82283
treatment	N1	15432
treatment	N1	53414
treatment	N1	1067
treatment	N1	42602
treatment	N1	58313
treatment	N1	62424
treatment	N1	53415
treatment	N1	50657
treatment	N1	82179
treatment	N1	76301
treatment	N1	63580
treatment	N1	40
treatment	N1	39781
treatment	N1	13480
treatment	N1	79663
treatment	N1	85390
treatment	N1	39962
treatment	N1	34628
treatment	N1	86463
treatment	N1	87672
treatment	N1	13946
treatment	N1	37278
treatment	N1	92360
treatment	N1	49392
treatment	N1	87751
treatment	N1	82227
treatment	N1	44043
treatment	N1	12114
treatment	N1	54859
treatment	N1	41197
treatment	N1	71394
treatment	N1	57873
treatment	N1	9695
treatment	N1	85118
treatment	N1	84956
treatment	N1	1674
treatment	N1	87839
treatment	N1	60649
treatment	N1	83875
treatment	N1	41
treatment	N1	76729
treatment	N1	88035
treatment	N1	38162
treatment	N1	4472
treatment	N1	45881
treatment	N1	23237
treatment	N1	55150
treatment	N1	9136
treatment	N1	23238
treatment	N1	87459
treatment	N1	82864
treatment	N1	89221
treatment	N1	92577
treatment	N1	75145
treatment	N1	36285
treatment	N1	55326
treatment	N1	59847
treatment	N1	90005
treatment	N1	50692
treatment	N1	45790
treatment	N1	76726
treatment	N1	51537
treatment	N1	46034
treatment	N1	45430
treatment	N1	4361
treatment	N1	2960
treatment	N1	88038
treatment	N1	44186
treatment	N1	50272
treatment	N1	16202
treatment	N1	85263
treatment	N1	26671
treatment	N1	334
treatment	N1	46479
treatment	N1	88956
treatment	N1	81679
treatment	N1	2027
treatment	N1	78428
treatment	N1	86206
treatment	N1	91376
treatment	N1	27344
treatment	N1	89220
treatment	N1	28508
treatment	N1	80859
treatment	N1	18362
treatment	N1	15481
treatment	N1	59804
treatment	N1	39957
treatment	N1	87663
treatment	N1	12452
treatment	N1	23053
treatment	N1	79016
treatment	N1	82853
treatment	N1	2890
treatment	N1	131
treatment	N1	37634
treatment	N1	76247
treatment	N1	91268
treatment	N1	86269
treatment	N1	20601
treatment	N1	984
treatment	N1	10442
treatment	N1	53523
treatment	N1	87926
treatment	N1	30663
treatment	N1	40418
treatment	N1	11744
treatment	N1	81656
treatment	N1	33818
treatment	N1	418
treatment	N1	2083
treatment	N1	36011
treatment	N1	85414
treatment	N1	81922
treatment	N1	82881
treatment	N1	7616
treatment	N1	15120
treatment	N1	15735
treatment	N1	48316
treatment	N1	36782
treatment	N1	47764
treatment	N1	21735
treatment	N1	35936
treatment	N1	86004
treatment	N1	58299
treatment	N1	79410
treatment	N1	76135
treatment	N1	68697
treatment	N1	87872
treatment	N1	57028
treatment	N1	46113
treatment	N1	82575
treatment	N1	45869
treatment	N1	91510
treatment	N1	37619
treatment	N1	2929
